# Simulation parameters
# ----------------------------------------
# M rows = 51
# N cols = 51
# p_init_C = 0.500000
# sharing = False
# ----------------------------------------
# competition type:
# roulette = False
# tournament = True
# ----------------------------------------
# strategies:
# all-C = 0.200000
# all-D = 0.200000
# k-D = 0.200000
# k-C = 0.200000
# k-DC = 0.200000
# k_var (from to)
# min = 0 max = 8
# ----------------------------------------
# mutation:
# p_state_mut = 0.000000
# p_strat_mut = 0.000000
# p_0_neigh_mut = 0.300000
# p_1_neigh_mut = 0.100000
# ----------------------------------------
# synch_prob = 0.200000
# optimal_num_1s = 676
# ----------------------------------------
# seed = 5789302786441754
# num_of_iter = 200
# num_of_exper = 5
# ----------------------------------------
# debug = False
# read_CA_state_deb = False
# read_CA_strat_deb = False
# ----------------------------------------
# test_1 = False
# test_2 = False
# test_3 = False
# ----------------------------------------
# payoff function:
# d: 1.000000	c: 0.000000
# b: 1.200000	a: 0.100000
# ----------------------------------------

# Exper 1
#  1             2              3                4                5                6                7               8             9             10            11                12                    13                 14
# iter          f_C          f_C_corr          av_pay          f_cr_0s          f_cr_1s          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_fin       optim_solut
   158         0.19            0.41             0.34             0.07             0.10            0.00            0.27           0.00          0.55           0.18             0.84                  0.76                0.26
   159         0.20            0.42             0.33             0.08             0.09            0.00            0.27           0.00          0.55           0.18             0.84                  0.76                0.26
   160         0.20            0.42             0.34             0.07             0.09            0.00            0.27           0.00          0.56           0.18             0.84                  0.77                0.26
   161         0.20            0.41             0.34             0.07             0.10            0.00            0.26           0.00          0.56           0.18             0.84                  0.77                0.26
   162         0.20            0.40             0.34             0.06             0.10            0.00            0.26           0.00          0.56           0.18             0.84                  0.76                0.26
   163         0.20            0.39             0.33             0.06             0.11            0.00            0.26           0.00          0.56           0.18             0.84                  0.76                0.26
   164         0.20            0.40             0.33             0.06             0.11            0.00            0.26           0.00          0.56           0.17             0.83                  0.75                0.26
   165         0.20            0.42             0.33             0.07             0.11            0.00            0.26           0.00          0.57           0.17             0.83                  0.75                0.26
   166         0.20            0.39             0.34             0.07             0.10            0.00            0.26           0.00          0.57           0.17             0.83                  0.75                0.26
   167         0.20            0.40             0.33             0.08             0.11            0.00            0.27           0.00          0.56           0.18             0.82                  0.75                0.26
   168         0.20            0.39             0.33             0.06             0.11            0.00            0.27           0.00          0.56           0.17             0.83                  0.75                0.26
   169         0.20            0.39             0.32             0.07             0.11            0.00            0.26           0.00          0.56           0.18             0.82                  0.75                0.26
   170         0.20            0.39             0.32             0.08             0.10            0.00            0.26           0.00          0.56           0.17             0.84                  0.76                0.26
   171         0.20            0.40             0.32             0.07             0.11            0.00            0.26           0.00          0.56           0.18             0.83                  0.75                0.26
   172         0.20            0.40             0.33             0.06             0.10            0.00            0.26           0.00          0.57           0.18             0.83                  0.76                0.26
   173         0.20            0.39             0.33             0.07             0.11            0.00            0.26           0.00          0.57           0.17             0.84                  0.77                0.26
   174         0.20            0.40             0.33             0.07             0.11            0.00            0.26           0.00          0.57           0.17             0.83                  0.76                0.26
   175         0.20            0.41             0.33             0.07             0.10            0.00            0.25           0.00          0.58           0.17             0.84                  0.76                0.26
   176         0.20            0.41             0.34             0.06             0.10            0.00            0.25           0.00          0.58           0.17             0.84                  0.77                0.26
   177         0.20            0.42             0.33             0.07             0.10            0.00            0.25           0.00          0.57           0.17             0.84                  0.76                0.26
   178         0.21            0.42             0.34             0.06             0.10            0.00            0.25           0.00          0.58           0.17             0.83                  0.76                0.26
   179         0.20            0.42             0.34             0.06             0.10            0.00            0.25           0.00          0.58           0.17             0.84                  0.76                0.26
   180         0.21            0.40             0.34             0.05             0.10            0.00            0.25           0.00          0.57           0.18             0.84                  0.76                0.26
   181         0.20            0.40             0.34             0.06             0.11            0.00            0.24           0.00          0.58           0.18             0.84                  0.76                0.26
   182         0.20            0.41             0.33             0.07             0.10            0.00            0.24           0.00          0.58           0.18             0.85                  0.77                0.26
   183         0.20            0.41             0.33             0.05             0.11            0.00            0.24           0.00          0.58           0.18             0.85                  0.77                0.26
   184         0.20            0.41             0.34             0.06             0.10            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   185         0.20            0.41             0.34             0.06             0.10            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   186         0.20            0.42             0.34             0.07             0.10            0.00            0.24           0.00          0.59           0.17             0.85                  0.77                0.26
   187         0.20            0.41             0.34             0.07             0.10            0.00            0.24           0.00          0.59           0.18             0.85                  0.77                0.26
   188         0.20            0.41             0.33             0.07             0.10            0.00            0.23           0.00          0.59           0.18             0.83                  0.76                0.26
   189         0.20            0.43             0.34             0.07             0.10            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   190         0.20            0.42             0.34             0.06             0.10            0.00            0.24           0.00          0.59           0.17             0.85                  0.77                0.26
   191         0.20            0.42             0.34             0.06             0.10            0.00            0.24           0.00          0.59           0.17             0.84                  0.77                0.26
   192         0.20            0.43             0.34             0.08             0.09            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   193         0.20            0.42             0.34             0.07             0.09            0.00            0.24           0.00          0.59           0.17             0.85                  0.77                0.26
   194         0.20            0.42             0.34             0.08             0.10            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   195         0.20            0.43             0.34             0.07             0.10            0.00            0.24           0.00          0.59           0.17             0.83                  0.76                0.26
   196         0.21            0.42             0.34             0.08             0.09            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   197         0.21            0.42             0.34             0.05             0.10            0.00            0.24           0.00          0.59           0.17             0.84                  0.76                0.26
   198         0.21            0.42             0.34             0.05             0.11            0.00            0.23           0.00          0.59           0.18             0.83                  0.75                0.26
   199         0.20            0.41             0.34             0.06             0.11            0.00            0.23           0.00          0.59           0.18             0.83                  0.75                0.26
   200         0.20            0.42             0.34             0.06             0.11            0.00            0.23           0.00          0.59           0.18             0.83                  0.75                0.26

# Exper 5
#  1             2              3                4                5                6                7               8             9             10            11                12                    13                 14
# iter          f_C          f_C_corr          av_pay          f_cr_0s          f_cr_1s          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_fin       optim_solut
     0         0.50            0.01             0.00             0.00             0.00            0.20            0.21           0.20          0.20           0.19             0.00                  0.00                0.26
     1         0.46            0.01             0.14             0.00             0.54            0.19            0.27           0.19          0.18           0.17             0.22                  0.20                0.26
     2         0.44            0.03             0.14             0.01             0.50            0.18            0.33           0.18          0.16           0.15             0.27                  0.20                0.26
     3         0.42            0.04             0.14             0.01             0.47            0.16            0.34           0.18          0.16           0.15             0.29                  0.21                0.26
     4         0.40            0.05             0.15             0.02             0.44            0.15            0.36           0.17          0.16           0.16             0.32                  0.25                0.26
     5         0.39            0.04             0.15             0.03             0.42            0.14            0.38           0.16          0.16           0.16             0.37                  0.29                0.26
     6         0.38            0.04             0.15             0.04             0.41            0.13            0.38           0.16          0.16           0.16             0.34                  0.26                0.26
     7         0.37            0.05             0.15             0.04             0.40            0.13            0.39           0.17          0.15           0.16             0.35                  0.27                0.26
     8         0.36            0.05             0.15             0.05             0.39            0.12            0.40           0.17          0.15           0.16             0.36                  0.29                0.26
     9         0.35            0.05             0.15             0.06             0.38            0.11            0.42           0.17          0.14           0.16             0.36                  0.28                0.26
    10         0.34            0.05             0.15             0.05             0.37            0.10            0.43           0.17          0.13           0.16             0.34                  0.26                0.26
    11         0.33            0.05             0.15             0.07             0.36            0.10            0.44           0.17          0.13           0.16             0.37                  0.30                0.26
    12         0.33            0.07             0.15             0.07             0.35            0.10            0.43           0.17          0.14           0.16             0.36                  0.28                0.26
    13         0.32            0.06             0.16             0.07             0.34            0.09            0.44           0.17          0.15           0.15             0.36                  0.28                0.26
    14         0.31            0.06             0.15             0.07             0.33            0.09            0.44           0.16          0.15           0.16             0.37                  0.29                0.26
    15         0.31            0.05             0.16             0.09             0.32            0.09            0.45           0.16          0.14           0.15             0.38                  0.30                0.26
    16         0.31            0.07             0.15             0.08             0.32            0.09            0.45           0.17          0.14           0.15             0.36                  0.29                0.26
    17         0.30            0.06             0.16             0.08             0.31            0.08            0.45           0.16          0.14           0.16             0.39                  0.31                0.26
    18         0.29            0.08             0.15             0.08             0.31            0.07            0.47           0.17          0.14           0.15             0.35                  0.27                0.26
    19         0.28            0.08             0.16             0.09             0.29            0.07            0.48           0.17          0.14           0.14             0.43                  0.35                0.26
    20         0.29            0.09             0.16             0.08             0.28            0.06            0.49           0.16          0.14           0.15             0.46                  0.38                0.26
    21         0.28            0.10             0.17             0.07             0.28            0.06            0.50           0.15          0.14           0.16             0.49                  0.42                0.26
    22         0.28            0.10             0.17             0.10             0.27            0.06            0.51           0.15          0.13           0.16             0.52                  0.44                0.26
    23         0.27            0.09             0.17             0.10             0.27            0.05            0.50           0.14          0.14           0.17             0.54                  0.46                0.26
    24         0.27            0.09             0.17             0.10             0.26            0.05            0.51           0.13          0.14           0.17             0.53                  0.45                0.26
    25         0.27            0.09             0.17             0.10             0.26            0.05            0.52           0.13          0.14           0.17             0.50                  0.43                0.26
    26         0.26            0.09             0.17             0.08             0.26            0.05            0.51           0.13          0.14           0.18             0.50                  0.43                0.26
    27         0.26            0.09             0.17             0.11             0.26            0.05            0.50           0.13          0.14           0.19             0.49                  0.41                0.26
    28         0.26            0.12             0.17             0.11             0.25            0.04            0.51           0.13          0.13           0.19             0.51                  0.44                0.26
    29         0.26            0.12             0.18             0.08             0.24            0.04            0.51           0.13          0.13           0.19             0.57                  0.49                0.26
    30         0.25            0.14             0.18             0.08             0.24            0.04            0.51           0.13          0.13           0.19             0.56                  0.48                0.26
    31         0.24            0.15             0.19             0.09             0.23            0.03            0.51           0.13          0.13           0.19             0.59                  0.52                0.26
    32         0.24            0.15             0.20             0.09             0.22            0.03            0.52           0.12          0.14           0.19             0.59                  0.52                0.26
    33         0.24            0.14             0.20             0.10             0.22            0.03            0.52           0.11          0.15           0.20             0.60                  0.52                0.26
    34         0.25            0.15             0.19             0.09             0.22            0.02            0.52           0.12          0.14           0.19             0.58                  0.50                0.26
    35         0.24            0.15             0.20             0.08             0.23            0.02            0.51           0.12          0.14           0.20             0.59                  0.51                0.26
    36         0.23            0.14             0.19             0.09             0.21            0.02            0.51           0.12          0.14           0.20             0.58                  0.51                0.26
    37         0.23            0.14             0.19             0.12             0.21            0.02            0.51           0.11          0.14           0.22             0.61                  0.53                0.26
    38         0.23            0.16             0.20             0.10             0.21            0.01            0.50           0.11          0.14           0.23             0.58                  0.51                0.26
    39         0.23            0.16             0.21             0.11             0.20            0.01            0.50           0.11          0.15           0.23             0.64                  0.56                0.26
    40         0.22            0.17             0.21             0.10             0.20            0.01            0.52           0.10          0.15           0.22             0.66                  0.58                0.26
    41         0.22            0.17             0.22             0.10             0.19            0.01            0.51           0.10          0.15           0.22             0.64                  0.56                0.26
    42         0.22            0.19             0.21             0.12             0.19            0.01            0.52           0.09          0.15           0.22             0.63                  0.56                0.26
    43         0.22            0.19             0.23             0.11             0.18            0.01            0.51           0.09          0.15           0.23             0.68                  0.60                0.26
    44         0.22            0.20             0.23             0.08             0.19            0.01            0.52           0.08          0.15           0.24             0.71                  0.63                0.26
    45         0.22            0.18             0.23             0.10             0.18            0.01            0.52           0.08          0.15           0.25             0.69                  0.62                0.26
    46         0.22            0.18             0.22             0.10             0.18            0.01            0.52           0.08          0.15           0.25             0.67                  0.59                0.26
    47         0.21            0.20             0.23             0.10             0.19            0.01            0.51           0.08          0.16           0.25             0.67                  0.59                0.26
    48         0.21            0.21             0.23             0.09             0.18            0.00            0.50           0.07          0.17           0.25             0.66                  0.58                0.26
    49         0.21            0.19             0.23             0.10             0.17            0.00            0.51           0.07          0.17           0.25             0.68                  0.61                0.26
    50         0.22            0.21             0.23             0.11             0.17            0.00            0.50           0.07          0.17           0.26             0.67                  0.59                0.26
    51         0.20            0.23             0.24             0.09             0.18            0.00            0.49           0.08          0.17           0.26             0.68                  0.61                0.26
    52         0.20            0.23             0.25             0.11             0.16            0.01            0.49           0.08          0.17           0.25             0.70                  0.62                0.26
    53         0.22            0.23             0.25             0.12             0.16            0.01            0.48           0.08          0.18           0.26             0.71                  0.63                0.26
    54         0.22            0.24             0.25             0.10             0.17            0.01            0.47           0.08          0.18           0.26             0.72                  0.64                0.26
    55         0.22            0.25             0.25             0.10             0.17            0.01            0.48           0.08          0.18           0.27             0.72                  0.65                0.26
    56         0.21            0.23             0.26             0.10             0.16            0.01            0.47           0.07          0.18           0.28             0.73                  0.65                0.26
    57         0.22            0.25             0.25             0.12             0.16            0.01            0.46           0.07          0.18           0.28             0.70                  0.62                0.26
    58         0.21            0.26             0.26             0.10             0.16            0.01            0.46           0.07          0.18           0.28             0.73                  0.65                0.26
    59         0.20            0.27             0.26             0.10             0.16            0.01            0.45           0.07          0.18           0.29             0.72                  0.64                0.26
    60         0.21            0.26             0.26             0.11             0.14            0.00            0.44           0.07          0.19           0.30             0.75                  0.67                0.26
    61         0.21            0.27             0.26             0.10             0.15            0.00            0.44           0.07          0.19           0.30             0.73                  0.65                0.26
    62         0.21            0.28             0.26             0.10             0.15            0.00            0.43           0.08          0.19           0.29             0.74                  0.66                0.26
    63         0.21            0.28             0.27             0.10             0.16            0.00            0.43           0.07          0.20           0.30             0.74                  0.67                0.26
    64         0.21            0.28             0.27             0.09             0.15            0.00            0.43           0.07          0.21           0.30             0.76                  0.68                0.26
    65         0.21            0.29             0.28             0.09             0.15            0.00            0.42           0.07          0.21           0.30             0.77                  0.70                0.26
    66         0.20            0.30             0.28             0.08             0.14            0.00            0.42           0.06          0.22           0.30             0.78                  0.71                0.26
    67         0.21            0.29             0.28             0.10             0.14            0.00            0.42           0.06          0.22           0.30             0.78                  0.70                0.26
    68         0.21            0.29             0.28             0.10             0.15            0.00            0.41           0.06          0.23           0.31             0.79                  0.71                0.26
    69         0.21            0.30             0.29             0.09             0.15            0.00            0.40           0.05          0.23           0.32             0.80                  0.72                0.26
    70         0.21            0.30             0.29             0.10             0.14            0.00            0.38           0.05          0.25           0.32             0.79                  0.71                0.26
    71         0.21            0.30             0.29             0.10             0.14            0.00            0.38           0.04          0.25           0.32             0.77                  0.69                0.26
    72         0.22            0.30             0.29             0.08             0.15            0.00            0.38           0.05          0.25           0.32             0.78                  0.70                0.26
    73         0.21            0.31             0.29             0.08             0.15            0.00            0.37           0.05          0.26           0.32             0.79                  0.71                0.26
    74         0.21            0.32             0.30             0.08             0.14            0.00            0.36           0.05          0.26           0.33             0.80                  0.72                0.26
    75         0.21            0.31             0.30             0.09             0.14            0.00            0.36           0.05          0.27           0.32             0.81                  0.73                0.26
    76         0.21            0.32             0.30             0.08             0.14            0.00            0.36           0.04          0.27           0.33             0.81                  0.74                0.26
    77         0.21            0.30             0.30             0.08             0.14            0.00            0.34           0.04          0.28           0.33             0.81                  0.74                0.26
    78         0.21            0.33             0.30             0.09             0.14            0.00            0.33           0.04          0.28           0.34             0.80                  0.72                0.26
    79         0.22            0.34             0.31             0.09             0.13            0.00            0.33           0.04          0.29           0.34             0.81                  0.73                0.26
    80         0.22            0.34             0.31             0.07             0.14            0.00            0.32           0.04          0.29           0.34             0.81                  0.73                0.26
    81         0.22            0.34             0.32             0.07             0.14            0.00            0.32           0.04          0.29           0.34             0.83                  0.75                0.26
    82         0.22            0.33             0.32             0.08             0.14            0.00            0.32           0.04          0.30           0.35             0.82                  0.74                0.26
    83         0.22            0.34             0.31             0.09             0.14            0.00            0.31           0.03          0.30           0.35             0.82                  0.74                0.26
    84         0.23            0.33             0.32             0.07             0.15            0.00            0.31           0.03          0.30           0.36             0.83                  0.75                0.26
    85         0.22            0.34             0.32             0.07             0.15            0.00            0.30           0.03          0.29           0.37             0.82                  0.74                0.26
    86         0.22            0.34             0.32             0.06             0.15            0.00            0.29           0.03          0.30           0.38             0.82                  0.74                0.26
    87         0.22            0.35             0.32             0.06             0.14            0.00            0.29           0.03          0.29           0.38             0.82                  0.75                0.26
    88         0.22            0.34             0.33             0.06             0.14            0.00            0.30           0.03          0.29           0.38             0.84                  0.76                0.26
    89         0.22            0.32             0.32             0.06             0.14            0.00            0.30           0.03          0.29           0.38             0.83                  0.75                0.26
    90         0.23            0.33             0.32             0.06             0.15            0.00            0.29           0.03          0.29           0.39             0.81                  0.73                0.26
    91         0.22            0.35             0.32             0.06             0.15            0.00            0.29           0.02          0.29           0.39             0.82                  0.74                0.26
    92         0.23            0.36             0.33             0.07             0.14            0.00            0.29           0.02          0.30           0.39             0.83                  0.75                0.26
    93         0.22            0.36             0.34             0.06             0.14            0.00            0.29           0.02          0.30           0.39             0.84                  0.76                0.26
    94         0.22            0.35             0.34             0.07             0.14            0.00            0.29           0.02          0.30           0.39             0.84                  0.76                0.26
    95         0.23            0.35             0.34             0.07             0.14            0.00            0.29           0.02          0.31           0.39             0.83                  0.76                0.26
    96         0.22            0.37             0.34             0.06             0.15            0.00            0.29           0.02          0.30           0.39             0.83                  0.76                0.26
    97         0.22            0.37             0.35             0.06             0.14            0.00            0.29           0.01          0.30           0.39             0.84                  0.77                0.26
    98         0.21            0.36             0.35             0.08             0.13            0.00            0.29           0.02          0.30           0.39             0.84                  0.76                0.26
    99         0.22            0.35             0.34             0.10             0.13            0.00            0.29           0.02          0.30           0.39             0.82                  0.75                0.26
   100         0.22            0.36             0.34             0.09             0.14            0.00            0.29           0.02          0.30           0.39             0.84                  0.76                0.26
   101         0.22            0.36             0.34             0.08             0.14            0.00            0.29           0.02          0.30           0.39             0.83                  0.75                0.26
   102         0.22            0.38             0.35             0.07             0.14            0.00            0.28           0.02          0.30           0.40             0.82                  0.75                0.26
   103         0.22            0.37             0.35             0.08             0.13            0.00            0.28           0.01          0.30           0.40             0.82                  0.74                0.26
   104         0.22            0.37             0.35             0.07             0.14            0.00            0.28           0.01          0.30           0.40             0.83                  0.75                0.26
   105         0.22            0.36             0.35             0.06             0.14            0.00            0.28           0.01          0.31           0.41             0.82                  0.74                0.26
   106         0.23            0.37             0.35             0.07             0.14            0.00            0.27           0.01          0.31           0.41             0.82                  0.74                0.26
   107         0.22            0.37             0.36             0.07             0.14            0.00            0.27           0.01          0.31           0.41             0.83                  0.75                0.26
   108         0.22            0.38             0.36             0.07             0.14            0.00            0.27           0.01          0.31           0.41             0.83                  0.75                0.26
   109         0.22            0.37             0.36             0.08             0.13            0.00            0.27           0.01          0.32           0.41             0.83                  0.75                0.26
   110         0.22            0.39             0.36             0.07             0.13            0.00            0.26           0.01          0.31           0.42             0.83                  0.75                0.26
   111         0.23            0.37             0.37             0.07             0.13            0.00            0.26           0.01          0.31           0.42             0.84                  0.76                0.26
   112         0.22            0.37             0.36             0.06             0.14            0.00            0.26           0.01          0.31           0.42             0.83                  0.76                0.26
   113         0.22            0.37             0.36             0.07             0.14            0.00            0.26           0.01          0.31           0.42             0.82                  0.75                0.26
   114         0.22            0.37             0.36             0.07             0.14            0.00            0.26           0.01          0.31           0.42             0.82                  0.74                0.26
   115         0.23            0.38             0.36             0.07             0.14            0.00            0.25           0.01          0.31           0.43             0.82                  0.74                0.26
   116         0.23            0.38             0.36             0.06             0.14            0.00            0.25           0.01          0.31           0.43             0.84                  0.76                0.26
   117         0.23            0.40             0.37             0.05             0.14            0.00            0.25           0.01          0.31           0.43             0.85                  0.77                0.26
   118         0.23            0.40             0.37             0.05             0.13            0.00            0.25           0.01          0.31           0.44             0.84                  0.77                0.26
   119         0.22            0.41             0.37             0.05             0.13            0.00            0.25           0.01          0.31           0.43             0.85                  0.77                0.26
   120         0.22            0.39             0.37             0.06             0.13            0.00            0.24           0.01          0.31           0.44             0.85                  0.78                0.26
   121         0.22            0.39             0.37             0.06             0.13            0.00            0.24           0.01          0.31           0.44             0.85                  0.78                0.26
   122         0.23            0.37             0.37             0.07             0.13            0.00            0.24           0.01          0.31           0.44             0.85                  0.77                0.26
   123         0.23            0.38             0.36             0.07             0.14            0.00            0.24           0.01          0.31           0.44             0.85                  0.77                0.26
   124         0.23            0.39             0.36             0.07             0.14            0.00            0.24           0.01          0.31           0.45             0.84                  0.77                0.26
   125         0.23            0.39             0.36             0.05             0.14            0.00            0.24           0.01          0.31           0.45             0.84                  0.77                0.26
   126         0.23            0.38             0.37             0.06             0.14            0.00            0.24           0.00          0.31           0.45             0.84                  0.76                0.26
   127         0.23            0.39             0.37             0.06             0.14            0.00            0.23           0.00          0.31           0.45             0.84                  0.77                0.26
   128         0.23            0.39             0.37             0.06             0.14            0.00            0.23           0.00          0.31           0.46             0.84                  0.76                0.26
   129         0.23            0.40             0.37             0.06             0.14            0.00            0.23           0.00          0.31           0.46             0.84                  0.77                0.26
   130         0.23            0.39             0.37             0.06             0.13            0.00            0.23           0.00          0.31           0.46             0.85                  0.77                0.26
   131         0.22            0.39             0.37             0.05             0.14            0.00            0.23           0.00          0.30           0.47             0.85                  0.77                0.26
   132         0.23            0.39             0.37             0.07             0.13            0.00            0.22           0.00          0.31           0.47             0.85                  0.77                0.26
   133         0.23            0.40             0.37             0.06             0.14            0.00            0.22           0.00          0.30           0.47             0.85                  0.77                0.26
   134         0.23            0.41             0.38             0.06             0.13            0.00            0.22           0.00          0.30           0.47             0.84                  0.76                0.26
   135         0.23            0.40             0.38             0.06             0.13            0.00            0.22           0.00          0.30           0.47             0.85                  0.77                0.26
   136         0.23            0.40             0.37             0.06             0.13            0.00            0.22           0.00          0.30           0.48             0.84                  0.76                0.26
   137         0.23            0.40             0.38             0.06             0.13            0.00            0.22           0.00          0.30           0.47             0.84                  0.77                0.26
   138         0.23            0.39             0.37             0.06             0.14            0.00            0.22           0.00          0.30           0.48             0.84                  0.76                0.26
   139         0.23            0.39             0.37             0.06             0.14            0.00            0.22           0.00          0.30           0.47             0.84                  0.76                0.26
   140         0.23            0.39             0.37             0.05             0.14            0.00            0.22           0.00          0.31           0.47             0.84                  0.77                0.26
   141         0.23            0.39             0.37             0.06             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.77                0.26
   142         0.23            0.39             0.38             0.06             0.14            0.00            0.22           0.00          0.30           0.47             0.85                  0.77                0.26
   143         0.23            0.41             0.38             0.06             0.14            0.00            0.22           0.00          0.30           0.48             0.84                  0.77                0.26
   144         0.23            0.41             0.38             0.06             0.13            0.00            0.22           0.00          0.31           0.47             0.85                  0.78                0.26
   145         0.22            0.41             0.38             0.06             0.13            0.00            0.22           0.00          0.31           0.48             0.85                  0.78                0.26
   146         0.23            0.41             0.38             0.07             0.13            0.00            0.21           0.00          0.30           0.48             0.86                  0.78                0.26
   147         0.23            0.40             0.38             0.07             0.13            0.00            0.21           0.00          0.30           0.48             0.86                  0.78                0.26
   148         0.23            0.40             0.38             0.05             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.78                0.26
   149         0.23            0.40             0.37             0.06             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.78                0.26
   150         0.23            0.40             0.37             0.05             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.77                0.26
   151         0.23            0.41             0.37             0.05             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.77                0.26
   152         0.23            0.41             0.38             0.06             0.13            0.00            0.21           0.00          0.31           0.48             0.85                  0.78                0.26
   153         0.23            0.39             0.38             0.06             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.77                0.26
   154         0.23            0.40             0.37             0.07             0.14            0.00            0.21           0.00          0.31           0.48             0.84                  0.76                0.26
   155         0.23            0.39             0.38             0.06             0.14            0.00            0.20           0.00          0.31           0.49             0.85                  0.77                0.26
   156         0.23            0.39             0.37             0.06             0.14            0.00            0.20           0.00          0.31           0.49             0.84                  0.76                0.26
   157         0.23            0.40             0.37             0.06             0.14            0.00            0.21           0.00          0.31           0.48             0.85                  0.77                0.26
